pictocode,en_GB,bg_BG,cs_CZ,de_DE,el_GR,es_ES,fr_FR,hu_HU,it_IT,ka_GE,nl_NL,pl_PL,pt_PT,ro_RO,ru_RU,sk_SK,sr_RS,tr_TR
01,"Clear, cloudless sky","ясно, безоблачно небе","Jasná obloha bez mraků","Klar, wolkenlos","Αίθριος ουρανός","Limpio, sin nubes","Clair, ciel sans nuage","Tiszta, felhőtlen égbolt",Sereno,"მოწმენდილი, უღრუბლო ცა",Onbewolkt,"Czyste, bezchmurne niebo","Limpo, sem nuvens","Cer senin","Ясно и безоблачно","Jasná obloha bez mrakov","Vedro nebo bez oblaka","Berrak, bulutsuz bir gökyüzü"
02,"Clear and few clouds","Предимно ясно","Jasná s málo oblaky","Klar mit einigen Wolken","Αίθριος-λίγο νεφελώδης","Limpio y algunas nubes","Clair avec quelques nuages","Napsütés néhány felhővel","Poco nuvoloso","დარი მცირე მოღრუბლულობით","Licht bewolkt","Czyste z małą ilością chmur","Limpo e algumas nuvens","Cer senin cu nori răzleți","Ясно, некоторая облачность","Jasná s pár oblakmi","Vedro nebo sa nekoliko oblaka","Berrak ve az bulutlu"
03,"Partly cloudy","Променлива облачност",Polojasno,"Wechselnd bewölkt",Νεφελώδης,"Parcialmente nublado","Partiellement nuageux","Részlegesen felhős égbolt",Variabile,"ნაწილობრივ მოღრუბლული","Wisselend bewolkt","Częściowe zachmurzenie","Parcialmente enevoado","Cer variabil","Переменная облачность ",Polojasno,"Delimično oblačno","Parçalı bulutlu"
04,Overcast,"Плътна облачност",Zataženo,Bedeckt,Νεφοσκεπής,Nublado,"Ciel couvert","Borult égbolt",Coperto,მოღრუბლული,"Geheel bewolkt ",Zachmurzone,Nublado,"Cer acoperit",Пасмурно,Zatiahnuté,"Potpuno oblačno",Bulutlu
05,Fog,Мъгливо,Mlha,Nebel,Ομίχλη,Niebla,Brouillard,Köd,Nebbia,ნისლი,Mist,Mgła,Nevoeiro,Ceață,Туман,Hmla,Magla,Sis
06,"Overcast with rain","Облачно с превалявания от дъжд","Zataženo s deštěm","Bedeckt mit Regen","Νεφοσκεπής με βροχή","Nublado con lluvia","Couvert avec pluie","Borult égbolt esőzésekkel","Coperto con pioggia","მოღრუბლული წვიმით","Geheel bewolkt met regen","Zachmurzenie i deszcz","Nublado com chuva","Acoperit și ploaie","Облачно, с деждем","Zamračené s dažďom","Oblačno sa kišom","Yağmurlu bulutlu"
07,"Mixed with showers","Възможни проливни дъждове","Spojeno s přeháňkami","Wechselhaft, Schauer möglich","Με όμβρους","Mixto con llovizna","Variable avec risques d'averses","Változó égbolt záporokkal","Variabile con rovesci","შერეული შხაპუნა წვიმით","Wisselend bewolkt met buien","Zmieszany z przelotnymi opadami","Misto com aguaceiros","Variabil cu risc de averse","Смешанная погода с кратковременнымы дождями","Spojené s prehánkami","Mešovito sa pljuskovima","Yağmurla karışık"
08,"Showers, thunderstorms likely","Проливен дъжд, възможни гръмотевични бури","Přeháňky, možnost bouřek","Schauer, Gewitter möglich","Όμβροι, πιθανές καταιγίδες","Llovizna, tormentas probables","Averses avec orages probables","Záporok, esetleges zivatarok","Rovesci temporaleschi","შხაპუნა წვიმა, ელჭექით","Buien, mogelijk met onweer","Prawdopodobne przelotne opady i burze","Aguaceiros, possíveis trovoadas","Averse, posibil furtuni","Град, с возможными грозовыми ливнями","Prehánky, možnosť búrok","Pljuskovi sa verovatnom grmljavinom","Büyük olasılıkla fırtınalı ve yağmurlu"
09,"Overcast with snow","Облачно със снеговалежи","Zataženo se sněžením","Bedeckt mit Schneefall","Νεφοσκεπής με χιόνι","Nublado con nieve","Couvert avec chutes de neige","Borult égbolt havazásokkal","Coperto con neve","მოღრუბლული თოვლით","Geheel bewolkt met sneeuw","Zachmurzone i opady śniegu","Nublado com neve","Acoperit cu ninsoare","Облачность со снегопадом","Zamračené so snežením","Oblačno sa snegom","Karlı ve bulutlu"
10,"Mixed with snow showers","Смесено със снеговалежи","Spojeno se sněhovými přeháňkami","Wechselhaft mit Schneeschauern","Με όμβρους χιονιού","Variable con nieve","Ciel variable avec des averses de neige","Változó égbolt hózáporokkal","Variabile con rovesci di neve","შერეული თოვლით","Wisselend bewolkt en enkele sneeuwbuien","Zmieszany z opadami śniegu","Variável com aguaceiros de neve","Cer parțial acoperit cu averse de ninsoare","Переменчиво, идет легкий снег","Spojené so snehovými prehánkami","Mešovito sa snežnim pljuskovima","Karışık, kar yağış ihtimali"
11,"Mostly cloudy with a mixture of snow and rain","Предимно облачно с превалявания от дъжд и сняг","Většinou zataženo, spojeno s deštěm a sněžením","Überwiegend bewölkt mit Schnee und Regen","Νεφελώδης με χιονόνερο","Mayormente nublado con mixto de nieve y lluvia","Partiellement nuageux avec mélange de neige et de pluie","Nagyrészt felhős égbolt havasesővel","Molto nuvoloso con pioggia mista a neve","ძირითადად მოღრუბლული თოვლთან და წვიმასთან ერთად","Zwaar bewolkt met sneeuw en regen ","Przewaga chmur z opadami śniegu z deszczem","Muito nublado com misto de neve e chuva","Parțial înnorat cu lapoviță","Облачно, со смешанным дождем и снегом","Väčšinou oblačno, spojené s dažďom a snežením","Pretežno oblačno sa susnežicom","Çoğunlukla bulutlu ve karla karışık yağmur"
12,"Overcast with light rain","Облачно със слаб дъжд","Zataženo s lehkým deštěm","Bedeckt mit leichtem Regen","Νεφοσκεπής με ασθ. βροχή","Nublado con lluvia ligera","Couvert avec pluie légère","Borult égbolt gyenge esőzésekkel","Coperto con pioggia leggera","მოღრუბლული მცირედ წვიმასთან ერთად","Geheel bewolkt met lichte regen","Zachmurzone z niewielkimi opadami deszczu","Nublado com chuva ligeira","Acoperit cu ploaie ușoară","Облачно, с легким дождем","Zamračené s ľahkým dažďom","Oblačno sa slabom kišom","Bulutlu ve hafif yağmurlu"
