pictocode,en_GB,bg_BG,cs_CZ,de_DE,el_GR,es_ES,fr_FR,hu_HU,it_IT,ka_GE,nl_NL,pl_PL,pt_PT,ro_RO,ru_RU,sk_SK,sr_RS,tr_TR
01,"Clear, cloudless sky","ясно, безоблачно небе","Jasná obloha bez mraků","Klar, wolkenlos","Αίθριος ουρανός","Limpio, sin nubes","Clair, ciel sans nuage","Tiszta, felhőtlen égbolt",Sereno,"მოწმენდილი, უღრუბლო ცა",Onbewolkt,"Czyste, bezchmurne niebo","Limpo, sem nuvens","Cer senin","Ясно и безоблачно","Jasná obloha bez mrakov","Vedro nebo bez oblaka","Berrak, bulutsuz bir gökyüzü"
02,"Clear, few cirrus","ясно небе, налични цируси","Jasno, ojedinělá řasová sloha","Klar, vereinzelt Cirrus-Wolken","Αίθριος, λίγα cirrus","Limpio, algunas nubes cirrus","Clair, quelques cirrus","Tiszta égbolt néhány fátyolfelhővel","Sereno con velature","წმინდა, რამდენიმე ღრუბელი","Vrijwel onbewolkt","Czyste niebo, kilka chmur cirrus","Limpo, algumas nuvens cirrus","Cer senin, nori răzleți","Ясно с отдельными перистыми облаками","Jasno, ojedinelé riasovité oblaky","Vedro sa nekoliko cirusa","Berrak, birkaç saçaklı"
03,"Clear with cirrus","ясно с цируси","Jasno s řasovou slohou","Klar mit Cirrus-Wolken","Αίθριος με cirrus","Limpio, con nubes cirrus","Clair avec cirrus","Tiszta égbolt fátyolfelhőkkel","Sereno con stratificazioni","წმინდა რამოდენიმე ღრუბლით","Licht bewolkt","Czyste niebo z cirrusami","Limpo, com nuvens cirrus","Cer senin, nori la mare altitudine","Перистая облачность","Jasno s ojedinelými riasovitými oblakmi","Vedro sa cirusima","Temiz, Sirüs bulutları"
04,"Clear with few low clouds","ясно с възможна ниска облачност","Jasno s ojedinělými nízkými oblaky","Klar mit einigen niederen Wolken","Σχεδόν αίθριος με λίγα χαμηλά νέφη","Limpio, con algunas nubes bajas","Clair avec quelques nuages bas","Tiszta égbolt néhány alacsony felhővel","Poco nuvoloso","მოწმენდილი, რამოდენიმე პატარა ღრუბლით","Licht bewolkt","Czyste niebo z niewielką liczbą niskich chmur","Limpo, com algumas nuvens baixas ","Cer parțial noros","Ясно с небольшим количеством низких облаков","Jasno s ojedinelými nízkymi oblakmi","Vedro sa niskom oblačnošću","Birkaç düşük bulutlar Temizl"
05,"Clear with few low clouds and few cirrus","ясно с възможна ниска облачност и цируси","Jasno s ojedinělými nízkými oblaky a ojedinělou řasovou slohou","Klar mit einigen niederen Wolken sowie vereinzelt Cirrus-Wolken","Σχεδόν αίθριος με λίγα χαμηλά και λίγα cirrus","Limpio, con algunas nubes bajas y algunas cirrus","Clair avec quelques nuages bas et quelques cirrus","Tiszta égbolt néhány alacsony és fátyolfelhővel","Parzialmente nuvoloso","მოწმენდილი ცა დაბალი და ალაგ-ალაგ მიმოფანტული ღრუბლებით","Licht bewolkt","Czyste niebo z niewielką liczbą niskich chmur i z niewielką ilością cirrusów","Limpo, com algumas nuvens baixas e algumas cirrus ","Cer parțial noros","Ясно с небольшим количеством низких облаков и отдельными перистыми облаками","Jasno s ojedinelými nízkymi oblakmi a ojedinelou riasovou slohou","Vedro sa niskom oblačnošću i nekoliko cirusa","Birkaç düşük bulutlar ve birkaç cirrus"
06,"Clear with few low clouds and cirrus","ясно с ниска облачност и цируси","Jasno s ojedinělými nízkými oblaky a řasovou slohou","Klar mit einigen niederen Wolken sowie Cirrus-Wolken","Σχεδόν αίθριος με λίγα χαμηλά και cirrus","Limpio, con algunas nubes bajas y cirrus ","Clair avec quelques nuages bas et cirrus","Tiszta égbolt néhány alacsony és fátyolfelhővel","Parzialmente nuvoloso","მოწმენდილი ცა დაბალი და ალაგ-ალაგ მიმოფანტული ღრუბლებით","Half bewolkt","Czyste niebo z niewielką liczbą niskich chmur i cirrusami","Limpo, com algumas nuvens baixas e cirrus","Cer parțial noros","Ясно с небольшим количеством низких облаков и перистой облачностью","Jasno s ojedinelými nízkymi oblakmi a riasovou slohou","Vedro sa niskom oblačnošću i cirusima","Birkaç düşük bulutlar ve Cirrus temiz"
07,"Partly cloudy","Променлива облачност",Polojasno,"Wechselnd bewölkt",Νεφελώδης,"Parcialmente nublado","Partiellement nuageux","Részlegesen felhős égbolt",Variabile,"ნაწილობრივ მოღრუბლული","Wisselend bewolkt","Częściowe zachmurzenie","Parcialmente enevoado","Cer variabil","Переменная облачность ",Polojasno,"Delimično oblačno","Parçalı bulutlu"
08,"Partly cloudy and few cirrus","Променлива облачности и налични цируси","Polojasno s ojedinělou řasovou slohou","Teilweise bewölkt mit vereinzelt Cirrus-Wolken","Λίγο νεφελώδης και με λίγα cirrus","Parcialmente nublado y algunas nubes cirrus","Partiellement nuageux et quelques cirrus","Részlegesen felhős égbolt néhány fátyolfelhővel",Variabile,"ნაწილობრივ მოღრუბლული ალაგ-ალაგ მიმოფანტული ღრუბლებით","Wisselend bewolkt","Częściowe zachmurzenie z niewielką ilością cirrusami","Parcialmente enevoado e algumas nuvens cirrus","Cer variabil, fără precipitații","Переменная облачность с отдельными перистыми облаками","Polojasno s ojedinelými riasovitými oblakmi","Delimično oblačno sa nekoliko cirusa","Parçalı bulutlu ve birkaç cirrus"
09,"Partly cloudy and cirrus","Променлива облачност и цируси","Polojasno a řasová sloha","Teilweise bewölkt mit Cirrus-Wolken","Λίγο νεφελώδης και με cirrus","Parcialmente nublado y nubes cirrus","Partiellement nuageux et cirrus","Részlegesen felhős égbolt fátyolfelhőkkel",Variabile,"ნაწილობრივ მოღრუბლული ალაგ-ალაგ მიმოფანტული ღრუბლებით","Wisselend bewolkt","Częściowe zachmurzenie i cirrusy","Parcialmente enevoado e nuvens cirrus","Cer variabil","Переменная с перистой облачностью","Polojasno a riasová sloha","Delimično oblačno sa cirusima","Parçalı bulutlu ve cirrus"
10,"Mixed with some thunderstorm clouds possible","Смесено- възможно заоблачаване и гръмотевични бури","Spojeno s možností bouřkových oblaků","Wechselhaft, vereinzelt Gewitter möglich","Με πιθανότητα καταιγιδοφόρων νεφών","Posible aparición de algunas nubes de tormenta","Variable avec orages possibles","Változó égbolt esetleges viharfelhőkkel","Variabile con nubi cumuliformi","მოსალოდნელია ჭექა-ქუხილის გამომწვევი ღრუბელი","Wisselend bewolkt en kans op een onweersbui","Mieszanka chmur z możliwym występowaniem chmur burzowych","Possível ocorrência de algumas nuvens de trovoada",Oraj,"Неустойчивая погода, возможны отдельные грозовые тучи","Spojené s možnosťou búrkových oblakov","Mešovito sa mogućim olujnim oblacima","Bazı yerlerde fırtına ile karışık bulutlar mümkün"
11,"Mixed with few cirrus with some thunderstorm clouds possible","Смесено-  цируси и гръмотевични облаци","Spojeno s ojedinělou řasovou slohou a s možností bouřkových oblaků","Wechselhaft, vereinzelt Cirrus-Wolken und Gewitter möglich","Με λίγα cirrus και πιθανές καταιγίδες","Posibilidad de algunas nubes cirrus y algunas nubes de tormenta","Variable avec quelques cirrus et orages possible","Változó égbolt néhány fátyolfelhővel és esetleges viharfelhőkkel","Variabile con nubi cumuliformi","მოსალოდნელია ჭექა-ქუხილის გამომწვევი ღრუბელი","Wisselend bewolkt en kans op een onweersbui","Mieszanka kilku cirrusów z możliwym występowaniem chmur burzowych","Possibilidade da combinação de algumas nuvens cirrus e algumas nuvens de trovoada",Oraj,"Неустойчивая погода, возможны отдельные грозовые тучи и перистые облака","Spojené s ojedinelou riasovou slohou a možnosťou búrkových oblakov","Mešovito sa nekoliko cirusa i mogućnošću pojave olujnih oblaka","Bazı oraj mümkün bulutlar ile birkaç cirrus ile karışik olabilir"
12,"Mixed with cirrus with some thunderstorm clouds possible","Цируси с вероятност за буреносни облаци","Spojeno s řasovou slohou a s možností několika bouřkových oblaků","Wechselhaft mit Cirrus-Wolken, Gewitter möglich","Με cirrus και πιθανές καταιγίδες","Mixto con cirrus con algunas nubes de tormenta posibles","Variable avec cirrus et orages possibles","Változó égbolt néhány esetleges viharfelhővel","Variabile con possibili temporali","მოსალოდნელია ჭექა-ქუხილის გამომწვევი ღრუბელი","Wisselend bewolkt en kans op een onweersbui","Mieszanka cirrusów z możliwym występowaniem chmur burzowych","Misto com cirrus e nuvens de trovoada possíveis","Variabil cu cirrus și posibile furtuni","Переменная с перистыми облаками и некоторыми грозовыми ливнями и возможной облачностью.","Spojené s riasovitými oblakmi a s možnosťou niekoľkých búrkových oblakov","Mešovito sa cirusima i mogućnošću pojave olujnih oblaka","Bazı oraj mümkün bulutlar ile cirrus ile karışabilir"
13,"Clear but hazy","Ясно но мъгливо","Jasno ale opar","Klar, aber dunstig","Αίθριος αλλά θολός","Limpio, pero nebuloso","Ciel clair mais brumeux","Tiszta égbolt ködpárával","Sereno con foschia","მოწმენდილი, მაგრამ ნისლიანი","Onbewolkt en heiig","Przejrzyście, ale mglisto","Limpo mas nebuloso","Cer senin și ceață","Ясно но слегка туманно","Jasno ale spara","Vedro i maglovito","Temiz ama sisli"
14,"Clear but hazy with few cirrus","Ясно, но мъгливо с възможни цируси","Jasno ale opar s několik řasovými oblaky","Klar, aber dunstig mit einigen Cirrus-Wolken","Αίθριος, θολός με λίγα cirrus","Limpio, pero nebuloso con algunos cirros","Ciel clair mais brumeux avec quelques cirrus","Tiszta égbolt ködpárával és néhány fátyolfelhővel","Sereno con velature, foschia","მოწმენდილი, მაგრამ ნისლიანი რამოდენიმე ღრუბლით","Onbewolkt, maar nevelig met wat sluierbewolking ","Przejrzyście, ale mglisto z niewielką ilością cirrusów","Limpo mas nebuloso com alguns cirrus","Cer senin cu ceață și nori cirrus răzleți","Ясно но слегка туманно с перистыми облаками","Jasno ale spara s pár riasovitými oblakmi","Vedro ali maglovito sa nekoliko cirusa","Temiz ama sirüs bulutlarıyla puslu"
15,"Clear but hazy with cirrus","Ясно, но мъгливо с цируси","Jasno ale opar s řasovou slohou","Klar, aber dunstig mit Cirrus-Wolken","Αίθριος, θολός με cirrus","Limpio, pero nebuloso con cirros","Ciel clair mais brumeux avec cirrus","Tiszta égbolt ködpárával és fátyolfelhőkkel","Sereno con velature, foschia","მოწმენდილი, მაგრამ ნისლიანი ღრუბლებით","Onbewolkt, maar nevelig met sluierbewolking ","Przejrzyście, ale mglisto z cirrusami","Limpo mas nebuloso com cirrus","Cer senin cu ceață și nori cirrus","Ясно но слегка туманно с перистыми облаками","Jasno ale spara s riasovou slohou","Vedro ali maglovito sa cirusima","Temiz ama sirüs bulutlarıyla puslu"
16,"Fog/low stratus clouds","Мъгла/ ниска облачност","Mlha/ nízké stratusové oblaky","Nebel/niedere Schichtwolken","Ομίχλη/χαμηλή νέφωση stratus","Niebla/nubes estratos bajas","Brouillard/Stratus bas","Köd/alacsony rétegfelhők","Nebbia o nubi basse","ნისლი/დაბლა განლაგებული მრავალშრიანი ღრუბელი","Mist/lage bewolking","Mgła/niskie chmury stratus","Nevoeiro/nuvens stratus baixas","Ceață/nori stratus de joasă altitudine","Туман / низкие слоистые облака","Hmla/ nízke stratusové oblaky","Magla/niski stratusi","Sisli / Az düzeyde stratüs bulutu"
17,"Fog/low stratus clouds with few cirrus","Мълга/ ниска облачност с цируси","Mlha/ nízké stratusové oblaky a několik řasových oblaků","Nebel/niedere Schichtwolken mit vereinzelt Cirrus-Wolken","Ομίχλη/stratus και λίγα cirrus","Niebla/nubes estratos bajas con algunos cirros","Brouillard/Stratus bas avec quelques cirrus","Köd/alacsony rétegfelhők és néhány fátyolfelhő","Nebbia o nubi basse con velature leggere","ნისლი/დაბლა განლაგებული მიმოფანტული ღრუბელი","Mist en lage bewolking met wat sluierbewolking","Mgła/niskie chmury stratus i niewielka ilość cirrusów","Nevoeiro/nuvens stratus baixas com alguns cirrus","Ceață/nori stratus de joasă altitudine și nori cirrus răzleți","Туман/низкие слоистые облака с перистой облачностью","Hmla/ nízke stratusové oblaky a pár riasovitých oblakov","Magla/niski stratus oblaci sa nekoliko cirusa","Sisli / Az düzeyde stratüs bulutu"
18,"Fog/low stratus clouds with cirrus","Мъгла/ ниска облачност с цируси","Mlha/ nízké stratusové oblaky a řasová sloha","Nebel/niedere Schichtwolken mit Cirrus-Wolken","Ομίχλη/stratus και cirrus","Niebla/nubes estratos bajas con cirros","Brouillard/Stratus bas avec cirrus","Köd/alacsony rétegfelhők és fátyolfelhők","Nebbia o nubi basse con velature","ნისლიანი/ დაბალი შრის გაფანტული ღრუბლებით ","Mist en lage bewolking met sluierbewolking","Mgła/niskie chmury stratus i cirrusy","Nevoeiro/nuvens stratus baixas com cirrus","Ceață/nori stratus de joasă altitudine și cirrus","Туман/низкие слоистые облака с перистой облачностью","Hmla/ nízke stratusové oblaky s riasovou slohou","Magla/niski stratus oblaci sa cirusima","Sisli / Az düzeyde stratüs bulutu"
19,"Mostly cloudy","Предимно облачно","Převážně zataženo","Überwiegend bewölkt",Νεφελώδης,"Mayormente nublado","Partiellement nuageux","Nagyrészt felhős égbolt","Molto nuvoloso","უმეტესად მოღრუბლული","Zwaar bewolkt","Niewielkie zachmurzenie","Muito nublado","Parțial înnorat","В основном облачно","Väčšinou oblačno","Pretežno oblačno","Çoğunlukla bulutlu"
20,"Mostly cloudy and few cirrus","Предимно облачно, възможни цируси","Převážně zataženo a několik řasových oblaků","Überwiegend bewölkt, vereinzelt Cirrus-Wolken","Νεφελώδης και με λίγα cirrus","Mayormente nublado y algunos cirros","Partiellement nuageux avec quelques cirrus","Nagyrészt felhős égbolt néhány fátyolfelhővel","Molto nuvoloso con velature","ძირითადად მოღრუბლული რამოდენიმე გაფანტული ღრუბლით","Zwaar bewolkt met wat sluierbewolking","Niewielkie zachmurzenie z niewielką ilością cirrusów","Muito nublado e alguns cirrus","Parțial înnorat și nori cirrus răzleți","В основном облачно","Väčšinou oblačno a pár riasovitých oblakov","Pretežno oblačno sa nekoliko cirusa","Genellikle bulutlu ve biraz sirüs bulutları"
21,"Mostly cloudy and cirrus","Предимно облачно с цируси","Převážně zataženo a řasová sloha","Überwiegend bewölkt mit Cirrus-Wolken","Νεφελώδης και με cirrus","Mayormente nublado y cirros","Partiellement nuageux avec quelques cirrus","Nagyrészt felhős égbolt fátyolfelhőkkel","Molto nuvoloso con velature","ძირითადად მოღრუბლული გაფანტული ღრუბლებით","Zwaar bewolkt met sluierbewolking","Niewielkie zachmurzenie i cirrusy","Muito nublado e cirrus","Parțial înnorat și nori cirrus","В основном облачно, с перистыми облаками","Väčšinou oblačno a riasovitá sloha","Pretežno oblačno sa cirusima","Genellikle bulutlu ve biraz sirüs bulutları"
22,Overcast,"Плътна облачност",Zataženo,Bedeckt,Νεφοσκεπής,Nublado,"Ciel couvert","Borult égbolt",Coperto,მოღრუბლული,"Geheel bewolkt ",Zachmurzone,Nublado,"Cer acoperit",Пасмурно,Zatiahnuté,"Potpuno oblačno",Bulutlu
23,"Overcast with rain","Облачно с превалявания от дъжд","Zataženo s deštěm","Bedeckt mit Regen","Νεφοσκεπής με βροχή","Nublado con lluvia","Couvert avec pluie","Borult égbolt esőzésekkel","Coperto con pioggia","მოღრუბლული წვიმით","Geheel bewolkt met regen","Zachmurzenie i deszcz","Nublado com chuva","Acoperit și ploaie","Облачно, с деждем","Zamračené s dažďom","Oblačno sa kišom","Yağmurlu bulutlu"
24,"Overcast with snow","Облачно със снеговалежи","Zataženo se sněžením","Bedeckt mit Schneefall","Νεφοσκεπής με χιόνι","Nublado con nieve","Couvert avec chutes de neige","Borult égbolt havazásokkal","Coperto con neve","მოღრუბლული თოვლით","Geheel bewolkt met sneeuw","Zachmurzone i opady śniegu","Nublado com neve","Acoperit cu ninsoare","Облачность со снегопадом","Zamračené so snežením","Oblačno sa snegom","Karlı ve bulutlu"
25,"Overcast with heavy rain","Облачно с проливен дъжд","Zataženo se silným dešťem","Bedeckt mit starkem Regen","Νεφοσκεπής με έντονη βροχή","Nublado con lluvia fuerte","Couvert avec fortes pluies","Borult égbolt heves esőzésekkel","Coperto con pioggia forte","მოღრუბლული ძლიერ წვიმასთან ერთად","Geheel bewolkt met zware regen","Zachmurzenie z ulewnym deszczem","Nublado com chuvas fortes","Acoperit și ploaie puternică","Облачно, с ливневым дождем","Zamračené so silným dažďom","Oblačno sa jakom kišom","Şiddetli yağmur ve bulutlu"
26,"Overcast with heavy snow","Облачно със снеговалеж","Zataženo s hustým sněžením","Bedeckt mit starkem Schneefall","Νεφοσκεπής με έντονη χιονόπτωση","Nublado con fuertes nevadas","Couvert avec fortes chutes de neige","Borult égbolt erős havazásokkal","Coperto con neve forte","მოღრუბლული ძლიერ თოვლთან ერთად","Geheel bewolkt met zware sneeuw","Zachmurzenie z obfitymi opadami śnieżnymi","Nublado com muita neve","Acoperit cu ninsoare puternică","Облачно, с сильным снегопадом","Zamračené s hustým snežením","Oblačno sa jakim snegom","Şiddetli kar ve bulutlu"
27,"Rain, thunderstorms likely","Дъждовно с възможни бури","Déšť, možnost bouřek","Regen, Gewitter möglich","Βροχή, πιθανή καταιγίδα","Lluvia, tormentas probables","Pluie, orages probables","Esőzések esetleges viharokkal",Temporale,"წვიმა, ელჭექით","Regen, mogelijk met onweer","Prawdopodobieństwo deszczu i burz","Chuva, trovoadas possíveis","Ploaie, posibil furtuni","Дождь, возможны грозовые ливни","Dážď, možnosť búrok","Kiša sa verovatnom grmljavinom","Yağmur, fırtına olasılığı"
28,"Light rain, thunderstorms likely","Лек дъжд с възможни бури","Lehký déšť, možnost bouřek","Leichter Regen, Gewitter möglich","Ασθενής βροχή, πιθανή καταιγίδα","Lluvia ligera, tormentas probables","Pluies éparses, orages probables ","Gyenge esőzések esetleges viharokkal","Temporale debole","მსუბუქი წვიმა, ელჭექით","Lichte regen, mogelijk met onweer","Prawdopodobieństwo lekkiego deszczu i burz","Chuva ligeira, trovoadas possíveis","Ploaie ușoară, posibil furtuni","Легкий дождь, возможны грозовые ливни","Ľahký dážď, možnosť búrok","Slaba kiša sa verovatnom grmljavinom","Hafif yağmur, fırtına olasılığı"
29,"Storm with heavy snow","Буря със снеговалежи","Vichřice s hustým sněžením","Sturm mit starkem Schneefall","Καταιγίδα με έντονη χιονόπτωση","Tormenta con fuertes nevadas","Tempête avec fortes chutes de neige","Vihar erős havazásokkal","Temporale con neve forte","შტორმი ძლიერი თოვლით","Storm met zware sneeuw","Burza z obfitymi opadami śniegu","Tempestade com muita neve","Furtună cu cantități însemnate de zăpadă","Гроза с сильным снегопадом","Víchrica s hustým snežením","Oluja sa jakim snegom","Şiddetli kar ile fırtına"
